crop,shelf_life_days,spoilage_rate_per_day,optimal_temp_min,optimal_temp_max,optimal_humidity_min,optimal_humidity_max,category
Tomato,7,10.0,10,15,85,95,perishable
Onion,30,2.0,0,4,65,70,semi-perishable
Potato,60,1.0,4,10,85,90,semi-perishable
Banana,10,8.0,13,15,85,95,perishable
Mango,14,5.0,13,15,85,90,perishable
Rice,365,0.1,15,20,60,65,durable
Wheat,365,0.1,15,20,60,65,durable
Chilli,180,0.5,0,10,60,70,durable
Coconut,60,1.0,15,25,70,80,semi-perishable
Brinjal,7,10.0,10,12,90,95,perishable
