date,market_name,crop,variety,grade,min_price,max_price,modal_price,arrivals_tonnes
2024-01-01,Mysore,Wheat,Local,FAQ,2528,3090,2809,41.4
2024-01-01,Mangalore,Banana,Local,FAQ,1970,2408,2189,18.2
2024-01-01,Dharwad,Tomato,Local,FAQ,1831,2237,2034,98.4
2024-01-02,Shimoga,Brinjal,Local,FAQ,1173,1433,1303,16.1
2024-01-02,Hubli,Wheat,Local,FAQ,2609,3189,2899,64.9
2024-01-02,Mysore,Potato,Local,FAQ,931,1137,1034,93.0
2024-01-03,Mangalore,Banana,Local,FAQ,1914,2340,2127,17.9
2024-01-03,Bellary,Rice,Local,FAQ,3343,4085,3714,83.3
2024-01-03,Davangere,Onion,Local,FAQ,1028,1256,1142,69.5
2024-01-03,Davangere,Onion,Local,FAQ,1198,1464,1331,25.4
2024-01-03,Belgaum,Coconut,Local,FAQ,2203,2693,2448,45.0
2024-01-04,Karwar,Mango,Local,FAQ,3727,4555,4141,66.5
2024-01-05,Hassan,Coconut,Local,FAQ,2442,2984,2713,65.0
2024-01-06,Karwar,Chilli,Local,FAQ,6057,7403,6730,55.6
2024-01-06,Shimoga,Onion,Local,FAQ,1490,1821,1655,99.2
2024-01-07,Bellary,Brinjal,Local,FAQ,1084,1324,1204,80.8
2024-01-07,Raichur,Potato,Local,FAQ,1046,1278,1162,88.2
2024-01-07,Bijapur,Chilli,Local,FAQ,10737,13123,11930,77.5
2024-01-07,Gulbarga,Rice,Local,FAQ,2736,3344,3040,99.4
2024-01-07,Hubli,Wheat,Local,FAQ,1963,2399,2181,45.2
2024-01-08,Bijapur,Chilli,Local,FAQ,6620,8092,7356,41.2
2024-01-08,Tumkur,Brinjal,Local,FAQ,1312,1604,1458,52.2
2024-01-08,Bellary,Coconut,Local,FAQ,1465,1791,1628,70.9
2024-01-09,Hassan,Chilli,Local,FAQ,9951,12163,11057,97.6
2024-01-09,Karwar,Wheat,Local,FAQ,2480,3032,2756,80.9
2024-01-09,Bangalore (Yeshwanthpur),Rice,Local,FAQ,2726,3332,3029,95.0
2024-01-10,Gulbarga,Onion,Local,FAQ,1430,1748,1589,35.6
2024-01-11,Bijapur,Tomato,Local,FAQ,1088,1330,1209,28.8
2024-01-12,Mysore,Banana,Local,FAQ,1720,2102,1911,15.3
2024-01-12,Mangalore,Brinjal,Local,FAQ,1360,1662,1511,10.5
2024-01-12,Bijapur,Banana,Local,FAQ,1825,2231,2028,16.2
2024-01-13,Davangere,Tomato,Local,FAQ,1580,1931,1755,32.9
2024-01-13,Shimoga,Chilli,Local,FAQ,8824,10784,9804,24.9
2024-01-13,Mangalore,Coconut,Local,FAQ,2218,2712,2465,29.1
