market_id,market_name,district,state,latitude,longitude
1,Bangalore (Yeshwanthpur),Bangalore Urban,Karnataka,13.0285,77.535
2,Hubli,Dharwad,Karnataka,15.3647,75.124
3,Mysore,Mysore,Karnataka,12.2958,76.6394
4,Belgaum,Belagavi,Karnataka,15.8497,74.4977
5,Davangere,Davangere,Karnataka,14.4644,75.9218
6,Shimoga,Shimoga,Karnataka,13.9299,75.5681
7,Tumkur,Tumakuru,Karnataka,13.3409,77.1005
8,Hassan,Hassan,Karnataka,13.0068,76.1004
9,Mangalore,Dakshina Kannada,Karnataka,12.9141,74.856
10,Raichur,Raichur,Karnataka,16.2076,77.3463
11,Gulbarga,Kalaburagi,Karnataka,17.3297,76.8343
12,Bellary,Ballari,Karnataka,15.1394,76.9214
13,Bijapur,Vijayapura,Karnataka,16.8302,75.71
14,Dharwad,Dharwad,Karnataka,15.4589,75.0078
15,Karwar,Uttara Kannada,Karnataka,14.8033,74.1352
