date,market_name,temperature,humidity,rainfall_mm,condition
2026-08-25,Bangalore (Yeshwanthpur),36.2,70.5,41.8,Heavy Rain
2026-08-25,Hubli,20.3,43.9,0.0,Clear
2026-08-25,Mysore,34.0,56.9,0.0,Cloudy
2026-08-25,Belgaum,27.5,45.5,42.1,Heavy Rain
2026-08-25,Davangere,25.3,85.2,0.0,Cloudy
2026-08-25,Shimoga,23.3,61.5,46.9,Light Rain
2026-08-25,Tumkur,29.6,68.6,0.0,Clear
2026-08-25,Hassan,34.0,52.4,0.0,Partly Cloudy
2026-08-25,Mangalore,24.1,89.2,40.1,Light Rain
2026-08-25,Raichur,26.4,48.9,28.8,Heavy Rain
2026-08-25,Gulbarga,37.7,47.4,18.9,Light Rain
2026-08-25,Bellary,31.5,86.1,0.0,Partly Cloudy
2026-08-25,Bijapur,36.5,65.3,38.9,Heavy Rain
2026-08-25,Dharwad,25.9,57.7,0.0,Cloudy
2026-08-25,Karwar,31.7,45.3,26.0,Heavy Rain
2026-08-26,Bangalore (Yeshwanthpur),24.4,69.6,44.4,Light Rain
2026-08-26,Hubli,21.0,65.9,0.0,Clear
2026-08-26,Mysore,27.7,83.8,19.4,Light Rain
2026-08-26,Belgaum,29.1,40.5,0.0,Clear
2026-08-26,Davangere,36.7,78.0,0.0,Clear
2026-08-26,Shimoga,37.8,59.0,0.0,Cloudy
2026-08-26,Tumkur,20.9,48.6,0.0,Partly Cloudy
2026-08-26,Hassan,21.5,78.1,2.5,Light Rain
2026-08-26,Mangalore,30.9,82.5,0.0,Partly Cloudy
2026-08-26,Raichur,26.2,46.2,30.9,Light Rain
2026-08-26,Gulbarga,34.2,42.9,0.0,Cloudy
2026-08-26,Bellary,24.1,57.3,0.0,Cloudy
2026-08-26,Bijapur,23.7,40.8,22.2,Heavy Rain
2026-08-26,Dharwad,36.7,61.4,0.0,Partly Cloudy
2026-08-26,Karwar,34.2,83.7,41.8,Heavy Rain
2026-08-27,Bangalore (Yeshwanthpur),23.5,55.4,0.0,Cloudy
2026-08-27,Hubli,27.5,85.1,16.8,Light Rain
2026-08-27,Mysore,32.1,41.7,28.9,Light Rain
2026-08-27,Belgaum,34.3,55.6,47.4,Light Rain
2026-08-27,Davangere,21.7,69.0,0.0,Partly Cloudy
2026-08-27,Shimoga,22.8,60.0,49.2,Heavy Rain
2026-08-27,Tumkur,28.5,72.6,0.0,Cloudy
2026-08-27,Hassan,24.3,45.8,0.0,Partly Cloudy
2026-08-27,Mangalore,27.7,41.8,28.3,Light Rain
2026-08-27,Raichur,37.7,82.1,46.6,Light Rain
2026-08-27,Gulbarga,21.3,76.0,37.4,Heavy Rain
2026-08-27,Bellary,20.2,86.2,0.0,Cloudy
2026-08-27,Bijapur,28.0,77.4,0.0,Cloudy
2026-08-27,Dharwad,37.6,74.2,35.6,Light Rain
2026-08-27,Karwar,28.6,59.2,0.0,Partly Cloudy
2026-08-28,Bangalore (Yeshwanthpur),24.9,85.3,0.0,Clear
2026-08-28,Hubli,25.5,82.4,0.0,Partly Cloudy
2026-08-28,Mysore,23.8,53.9,32.0,Light Rain
2026-08-28,Belgaum,24.3,54.5,0.0,Partly Cloudy
2026-08-28,Davangere,33.7,40.5,0.0,Partly Cloudy
2026-08-28,Shimoga,20.9,46.5,6.0,Light Rain
2026-08-28,Tumkur,33.0,54.9,17.2,Heavy Rain
2026-08-28,Hassan,27.0,69.2,0.0,Cloudy
